Unnamed: 0,UTC,day,month,hour,maxtempC,mintempC,DewPointC,WindGustKmph,cloudcover,humidity,pressure,tempC,precipMM,winddirDegree,windspeedKmph,pm25,pm10,frequency_category,windows_open
1335,2025-03-28 15:00:00,28,3,15,15.9,8.7,8.5,8.7,63.0,70.0,1002.7,13.8,0.0,263.0,8.7,5.1,6.2,high,False
1336,2025-03-28 16:00:00,28,3,16,15.9,8.7,8.4,7.6,93.0,71.0,1002.6,13.5,0.0,289.0,7.6,4.1,5.0,high,False
1337,2025-03-28 17:00:00,28,3,17,15.9,8.7,8.4,8.1,99.0,80.0,1002.8,11.7,0.0,294.0,8.1,8.5,12.1,high,False
1338,2025-03-28 18:00:00,28,3,18,15.9,8.7,8.3,2.2,96.0,85.0,1003.7,10.8,0.0,55.0,2.2,7.1,9.5,high,False
1339,2025-03-28 19:00:00,28,3,19,15.9,8.7,8.2,2.2,79.0,85.0,1003.6,10.6,0.0,256.0,2.2,6.3,7.0,none,False
1340,2025-03-28 20:00:00,28,3,20,15.9,8.7,8.0,1.9,79.0,89.0,1003.7,9.8,0.0,61.0,1.9,5.9,7.0,none,False
1341,2025-03-28 21:00:00,28,3,21,15.9,8.7,7.6,2.0,79.0,91.0,1003.7,9.0,0.0,207.0,2.0,5.3,5.8,none,False
1342,2025-03-28 22:00:00,28,3,22,15.9,8.7,7.4,1.5,28.0,91.0,1003.7,8.8,0.0,30.0,1.5,4.8,5.3,none,False
1343,2025-03-28 23:00:00,28,3,23,15.9,8.7,6.9,2.4,73.0,88.0,1003.5,8.7,0.0,324.0,2.4,5.1,5.6,none,False
1344,2025-03-29 00:00:00,29,3,0,15.2,8.5,6.6,1.2,56.0,87.0,1003.2,8.6,0.0,27.0,1.2,4.8,5.2,none,False
1345,2025-03-29 01:00:00,29,3,1,15.2,8.5,8.0,2.9,40.0,92.0,1003.4,9.2,0.0,60.0,2.9,4.2,4.6,none,False
1346,2025-03-29 02:00:00,29,3,2,15.2,8.5,8.0,3.1,100.0,90.0,1003.0,9.5,0.0,45.0,3.1,4.3,4.7,none,False
1347,2025-03-29 03:00:00,29,3,3,15.2,8.5,7.5,2.2,100.0,91.0,1002.7,8.9,0.0,24.0,2.2,4.2,4.6,none,False
1348,2025-03-29 04:00:00,29,3,4,15.2,8.5,7.1,1.6,82.0,91.0,1003.0,8.5,0.0,27.0,1.6,4.3,4.7,none,False
1349,2025-03-29 05:00:00,29,3,5,15.2,8.5,7.2,1.1,93.0,91.0,1003.1,8.6,0.0,9.0,1.1,3.8,4.1,none,False
1350,2025-03-29 06:00:00,29,3,6,15.2,8.5,7.8,3.3,77.0,87.0,1003.6,9.8,0.0,29.0,3.3,3.9,4.8,none,False
1351,2025-03-29 07:00:00,29,3,7,15.2,8.5,8.1,3.8,90.0,83.0,1003.4,10.8,0.0,82.0,3.8,3.4,3.8,none,False
1352,2025-03-29 08:00:00,29,3,8,15.2,8.5,8.1,4.7,96.0,81.0,1003.6,11.3,0.0,108.0,4.7,3.1,3.4,none,False
1353,2025-03-29 09:00:00,29,3,9,15.2,8.5,8.2,5.3,100.0,77.0,1003.5,12.0,0.0,98.0,5.3,3.1,3.4,none,False
1354,2025-03-29 10:00:00,29,3,10,15.2,8.5,8.3,5.1,100.0,75.0,1003.2,12.6,0.0,98.0,5.1,2.9,3.1,none,False
1355,2025-03-29 11:00:00,29,3,11,15.2,8.5,8.3,4.7,82.0,68.0,1002.4,14.0,0.0,106.0,4.7,3.0,3.2,none,False
1356,2025-03-29 12:00:00,29,3,12,15.2,8.5,7.7,6.0,59.0,61.0,1001.3,15.2,0.0,127.0,6.0,2.7,2.9,none,False
1357,2025-03-29 13:00:00,29,3,13,15.2,8.5,7.4,7.4,88.0,63.0,1002.1,14.3,0.0,91.0,7.4,2.5,2.7,none,False
1358,2025-03-29 14:00:00,29,3,14,15.2,8.5,7.5,7.8,88.0,62.0,1001.9,14.8,0.1,97.0,7.8,2.4,2.6,none,False
1359,2025-03-29 15:00:00,29,3,15,15.2,8.5,8.1,9.2,100.0,71.0,1002.2,13.3,0.0,84.0,9.2,2.4,2.6,none,False
1360,2025-03-29 16:00:00,29,3,16,15.2,8.5,8.2,6.9,100.0,72.0,1002.6,13.1,0.0,70.0,6.9,2.1,2.3,none,False
1361,2025-03-29 17:00:00,29,3,17,15.2,8.5,8.2,3.9,100.0,78.0,1003.2,11.9,0.0,62.0,3.9,2.2,2.4,none,False
1362,2025-03-29 18:00:00,29,3,18,15.2,8.5,7.8,0.8,96.0,79.0,1004.0,11.4,0.0,315.0,0.8,2.2,2.3,none,False
1363,2025-03-29 19:00:00,29,3,19,15.2,8.5,7.4,0.4,100.0,79.0,1004.6,11.0,0.0,153.0,0.4,2.1,2.2,none,False
1364,2025-03-29 20:00:00,29,3,20,15.2,8.5,7.5,0.0,100.0,84.0,1004.9,10.1,0.0,270.0,0.0,2.1,2.2,none,False
1365,2025-03-29 21:00:00,29,3,21,15.2,8.5,7.6,0.6,99.0,85.0,1005.2,10.1,0.0,288.0,0.6,2.2,2.4,none,False
1366,2025-03-29 22:00:00,29,3,22,15.2,8.5,7.4,0.4,99.0,86.0,1005.8,9.5,0.0,153.0,0.4,2.2,2.4,none,False
1367,2025-03-29 23:00:00,29,3,23,15.2,8.5,7.6,1.1,100.0,89.0,1006.1,9.4,0.0,279.0,1.1,1.8,1.9,none,False
1368,2025-03-30 00:00:00,30,3,0,16.4,8.8,7.7,0.8,100.0,89.0,1005.9,9.5,0.1,243.0,0.8,1.9,2.0,none,False
1369,2025-03-30 01:00:00,30,3,1,16.4,8.8,8.3,1.3,100.0,91.0,1005.8,9.6,0.0,164.0,1.3,1.9,2.0,none,False
1370,2025-03-30 02:00:00,30,3,2,16.4,8.8,8.2,1.0,100.0,93.0,1006.0,9.3,0.1,239.0,1.0,2.0,2.1,none,False
1371,2025-03-30 03:00:00,30,3,3,16.4,8.8,8.1,2.7,100.0,93.0,1006.1,9.2,0.1,278.0,2.7,1.9,2.0,none,False
1372,2025-03-30 04:00:00,30,3,4,16.4,8.8,7.3,1.0,100.0,90.0,1006.6,8.8,0.2,202.0,1.0,1.8,1.9,none,False
1373,2025-03-30 05:00:00,30,3,5,16.4,8.8,8.2,3.5,100.0,94.0,1007.2,9.1,0.5,291.0,3.5,1.9,2.0,none,False
